RecordId,Time,Provider,Level,EventId,Message
1,6/23/2025 1:04:12 AM,Microsoft-Windows-AppReadiness,4,100,App Readiness service has started.
2,6/23/2025 1:04:12 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'ART:AppxPreRegistration' is added for S-1-5-18, tasks: 1"
3,6/23/2025 1:04:12 AM,Microsoft-Windows-AppReadiness,4,211,App Readiness service has completed tasks for S-1-5-18.
4,6/23/2025 1:04:12 AM,Microsoft-Windows-AppReadiness,4,241,"Task 'ART:AppxPreRegistration' is removed for S-1-5-18, tasks: 0"
5,6/23/2025 1:04:12 AM,Microsoft-Windows-AppReadiness,4,220,'ART:AppxPreRegistration' succeeded for S-1-5-18. (0.2074748 seconds)
6,6/23/2025 1:04:17 AM,Microsoft-Windows-AppReadiness,4,209,For 'S-1-5-21-1283774291-1801764544-247059453-1000' has changed mode from 'AfterLogon' to 'BeforeLogon'
7,6/23/2025 1:04:17 AM,Microsoft-Windows-AppReadiness,4,232,FWOpenPolicyStore returns 0x0.
8,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 1"
9,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 2"
10,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 3"
11,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.BioEnrollment_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 4"
12,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 5"
13,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 6"
14,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.Windows.OOBENetworkCaptivePortal_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 7"
15,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'ART:UserLogon' is added for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 8"
16,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,2,5044,S-1-5-21-1283774291-1801764544-247059453-1000 : failed determine if tiles are missing. error=Element not found.
17,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,241,"Task 'install::Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy' is removed for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 7"
18,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,213,'Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy' install succeeded for S-1-5-21-1283774291-1801764544-247059453-1000. (0.3436811 seconds)
19,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,241,"Task 'install::Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy' is removed for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 6"
20,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,213,'Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy' install succeeded for S-1-5-21-1283774291-1801764544-247059453-1000. (0.4843164 seconds)
21,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,241,"Task 'install::Microsoft.BioEnrollment_cw5n1h2txyewy' is removed for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 5"
22,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,213,'Microsoft.BioEnrollment_cw5n1h2txyewy' install succeeded for S-1-5-21-1283774291-1801764544-247059453-1000. (0 seconds)
23,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,241,"Task 'install::Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy' is removed for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 4"
24,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,213,'Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy' install succeeded for S-1-5-21-1283774291-1801764544-247059453-1000. (0.1718875 seconds)
25,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,241,"Task 'install::Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy' is removed for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 3"
26,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,213,'Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy' install succeeded for S-1-5-21-1283774291-1801764544-247059453-1000. (0.1406345 seconds)
27,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,241,"Task 'install::Microsoft.Windows.OOBENetworkCaptivePortal_cw5n1h2txyewy' is removed for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 2"
28,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,213,'Microsoft.Windows.OOBENetworkCaptivePortal_cw5n1h2txyewy' install succeeded for S-1-5-21-1283774291-1801764544-247059453-1000. (0 seconds)
29,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,241,"Task 'install::Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy' is removed for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 1"
30,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,213,'Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy' install succeeded for S-1-5-21-1283774291-1801764544-247059453-1000. (0.1562598 seconds)
31,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,241,"Task 'ART:UserLogon' is removed for S-1-5-21-1283774291-1801764544-247059453-1000, tasks: 0"
32,6/23/2025 1:04:18 AM,Microsoft-Windows-AppReadiness,4,220,'ART:UserLogon' succeeded for S-1-5-21-1283774291-1801764544-247059453-1000. (0.6718284 seconds)
33,6/23/2025 1:04:27 AM,Microsoft-Windows-AppReadiness,4,209,For 'S-1-5-21-1283774291-1801764544-247059453-1000' has changed mode from 'BeforeLogon' to 'LoggingOff'
34,6/23/2025 1:04:27 AM,Microsoft-Windows-AppReadiness,4,234,FWClosePolicyStore returns 0x0.
35,6/23/2025 1:04:27 AM,Microsoft-Windows-AppReadiness,4,209,For 'S-1-5-18' has changed mode from 'AfterLogon' to 'LoggingOff'
36,6/23/2025 1:04:27 AM,Microsoft-Windows-AppReadiness,4,101,App Readiness service has stopped.
37,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,100,App Readiness service has started.
38,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,209,For 'S-1-5-21-1283774291-1801764544-247059453-500' has changed mode from 'AfterLogon' to 'BeforeLogon'
39,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,232,FWOpenPolicyStore returns 0x0.
40,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 1"
41,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 2"
42,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::windows.immersivecontrolpanel_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 3"
43,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.Windows.Cortana_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 4"
44,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::1527c705-839a-4832-9118-54d4Bd6a0c89_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 5"
45,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::c5e2524a-ea46-4f67-841f-6a9465d9d515_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 6"
46,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::E2A4F912-2574-4A75-9BB0-0D023378592B_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 7"
47,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 8"
48,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::InputApp_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 9"
49,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 10"
50,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.AccountsControl_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 11"
51,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.AsyncTextService_8wekyb3d8bbwe' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 12"
52,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.BioEnrollment_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 13"
53,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.CredDialogHost_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 14"
54,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.ECApp_8wekyb3d8bbwe' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 15"
55,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.LockApp_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 16"
56,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.MicrosoftEdgeDevToolsClient_8wekyb3d8bbwe' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 17"
57,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.MicrosoftEdge_8wekyb3d8bbwe' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 18"
58,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.PPIProjection_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 19"
59,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.Win32WebViewHost_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 20"
60,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 21"
61,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.Windows.CallingShellApp_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 22"
62,6/23/2025 1:05:02 AM,Microsoft-Windows-AppReadiness,4,240,"Task 'install::Microsoft.Windows.CapturePicker_cw5n1h2txyewy' is added for S-1-5-21-1283774291-1801764544-247059453-500, tasks: 23"
