RecordId,Time,Provider,Level,EventId,Message
1174,6/23/2025 6:25:21 PM,TPM,4,18,This event triggers the Trusted Platform Module (TPM) provisioning/status check to run.
672,6/23/2025 1:42:35 PM,Service Control Manager,4,7045,A service was installed in the system. Service Name:  WPD File System driver Service File Name:  \SystemRoot\system32\DRIVERS\WUDFRd.sys Service Type:  kernel mode driver Service Start Type:  demand start Service Account:  
671,6/23/2025 1:42:35 PM,Microsoft-Windows-DriverFrameworks-UserMode,4,10100,The driver package installation has succeeded.
670,6/23/2025 1:42:35 PM,Microsoft-Windows-DriverFrameworks-UserMode,4,10001,The UMDF service WpdFs (CLSID {112de495-ac4c-46f8-b663-6a4266c53313}) was installed.  It requires framework version 2.29.0 or higher.
669,6/23/2025 1:42:35 PM,Microsoft-Windows-DriverFrameworks-UserMode,4,10000,A driver package which uses user-mode driver framework version 2.29.0 is being installed on device SWD\WPDBUSENUM\_??_USBSTOR#DISK&VEN_KINGSTON&PROD_DATATRAVELER_3.0&REV_0000#E0D55E6CBD0F189099B503C6&0#{53F56307-B6BF-11D0-94F2-00A0C91EFB8B}.
668,6/23/2025 1:42:35 PM,Microsoft-Windows-FilterManager,4,6,"File System Filter 'storqosflt' (10.0, ‎2084‎-‎07‎-‎23T22:29:44.000000000Z) has successfully loaded and registered with Filter Manager."
667,6/23/2025 1:42:35 PM,Microsoft-Windows-FilterManager,4,6,"File System Filter 'CldFlt' (10.0, ‎1976‎-‎11‎-‎19T00:44:15.000000000Z) has successfully loaded and registered with Filter Manager."
666,6/23/2025 1:42:35 PM,Microsoft-Windows-FilterManager,4,1,"File System Filter 'CldFlt' (Version 10.0, ‎1976‎-‎11‎-‎19T00:44:15.000000000Z) unloaded successfully."
665,6/23/2025 1:42:35 PM,Microsoft-Windows-FilterManager,4,6,"File System Filter 'CldFlt' (10.0, ‎1976‎-‎11‎-‎19T00:44:15.000000000Z) has successfully loaded and registered with Filter Manager."
664,6/23/2025 1:42:35 PM,Microsoft-Windows-FilterManager,4,6,"File System Filter 'luafv' (10.0, ‎1974‎-‎08‎-‎09T06:33:30.000000000Z) has successfully loaded and registered with Filter Manager."
